water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",Кислоpод
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",NO2
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Магний
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Терек - г.Владикавказ""","""3Б Очень загрязненная""",БПК5
"""р.Кума - с.Владимировка""","""3Б Очень загрязненная""",Медь
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Кислоpод
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",БПК5
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",Никель
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""","""Железо общ."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",NO3
"""МЕЖДУРЕЧЬЕ (МЕЖДУ ТЕРЕКОМ И КУРОЙ)""","""3Б Очень загрязненная""",Медь
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Цинк
"""МЕЖДУРЕЧЬЕ (МЕЖДУ ТЕРЕКОМ И КУРОЙ)""","""3Б Очень загрязненная""",Цинк
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""",Хлоpиды
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",Нефтепpод.
"""МЕЖДУРЕЧЬЕ (МЕЖДУ ТЕРЕКОМ И КУРОЙ)""","""3Б Очень загрязненная""",Хлоpиды
"""МЕЖДУРЕЧЬЕ (МЕЖДУ ТЕРЕКОМ И КУРОЙ)""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""","""Фенолы летуч."""
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Кислоpод
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Маpганец
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",Нефтепpод.
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",Кислоpод
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",БПК5
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""","""Окисл. Бихp."""
"""р.Сулак - с.Миатлы""","""3Б Очень загрязненная""",NH4
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",Медь
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""",SO4
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""",NO3
"""ВДХР УГЛИЧСКОЕ - Г.УГЛИЧ""","""3Б Очень загрязненная""",NO2
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ВОЛГА - ИВАНЬКОВСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Медь
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",БПК5
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",SO4
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO3
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NH4
"""Р.ВОЛГА - УГЛИЧСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO2
"""ВДХР ИВАНЬКОВСКОЕ - Г.ДУБНА""","""3Б Очень загрязненная""",SO4
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",Цинк
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",Хлоpиды
"""р.Терек.рук.Новый Терек - с.Аликазган""","""3Б Очень загрязненная""",NO3
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",Нефтепpод.
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",Медь
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",Кислоpод
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""","""Железо общ."""
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",БПК5
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",NO2
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""",NH4
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Цинк
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""","""Железо общ."""
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",NO2
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Дон - ст-ца Раздорская""","""4А Грязная""",NO3
"""Р.КУБАНЬ, Г.ТЕМРЮК 3КМ НИЖЕ ГОРОДА""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ВОЛГА - РЫБИНСКИЙ ГИДРОУЗЕЛ""","""3Б Очень загрязненная""",БПК5
"""вдхр.Рыбинское - мкр.Переборы""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Кубань - ст-ца Ладожская""","""4А Грязная""",Цинк
"""ВДХР ЧЕБОКСАРСКОЕ - Г.ЧЕБОКСАРЫ""","""3Б Очень загрязненная""",Хлоpиды
"""р.Москва - г.Коломна""","""4Г Очень грязная""","""Окисл. Бихp."""
"""р.Москва - г.Коломна""","""4Г Очень грязная""",Кислоpод
"""р.Москва - г.Коломна""","""4Г Очень грязная""",Никель
"""р.Москва - г.Коломна""","""4Г Очень грязная""",Медь
"""р.Москва - г.Коломна""","""4Г Очень грязная""","""Железо общ."""
"""р.Москва - г.Коломна""","""4Г Очень грязная""",NO2
"""р.Москва - г.Коломна""","""4Г Очень грязная""",NH4
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Никель
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""","""Железо общ."""
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",SO4
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",NO3
"""р.Ока - г.Калуга""","""3Б Очень загрязненная""",NH4
"""ВДХР ЧЕБОКСАРСКОЕ - Г.ЧЕБОКСАРЫ""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.КЛЯЗЬМА, Г.ОРЕХОВО—ЗУЕВО, НИЖЕ ГОРОДА""","""4Б Грязная""",NH4
"""р.Ока - г.Муром""","""4А Грязная""","""Фенолы летуч."""
"""р.Ока - г.Муром""","""4А Грязная""","""Окисл. Бихp."""
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""",Хлоpиды
"""Р.ОКА - Г.ГОРБАТОВ""","""3А Загрязненная""","""Фенолы летуч."""
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Нефтепpод.
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Медь
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""",Кислоpод
"""ВДХР КАМСКОЕ - КАМСКАЯ ГЭС""","""3А Загрязненная""","""Железо общ."""
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Цинк
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",Медь
"""ВДХР ВОТКИНСКОЕ - Г.КРАСНОКАМСК""","""3Б Очень загрязненная""",NO3
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",Цинк
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""","""Железо общ."""
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",БПК5
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",SO4
"""Р.БЕЛАЯ, Г.УФА 22,2 КМ НИЖЕ Г""","""3А Загрязненная""",NO3
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""","""Фенолы летуч."""
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",NO2
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",NH4
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Цинк
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Хлоpиды
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Никель
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Медь
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Нефтепpод.
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",БПК5
"""Р.БЕЛАЯ, Г.БИРСК 3,7 КМ НИЖЕ Г.БИРСК""","""3А Загрязненная""",Нефтепpод.
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Хлоpиды
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",NO2
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",SO4
"""Р.ИРТЫШ, Г.ОМСК,3,16 КМ НИЖЕ П.БЕРЕГОВОЙ""","""3А Загрязненная""",Медь
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""","""Фенолы летуч."""
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""","""Окисл. Бихp."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Хлоpиды
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""",NO3
"""Р.ТОМЬ - Г.ТОМСК""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",БПК5
"""Р.ОБЬ, Г.НОВОСИБИРСК 0.3 КМ НИЖЕ ПЛОТИНЫ ГЭС""","""4А Грязная""",SO4
"""р.Селенга - с.Кабанск""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",Кислоpод
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""","""Железо общ."""
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ЧУЛЫМ, ПГТ БАТУРИНО, В ЧЕР ПОСЕЛКА""","""4А Грязная""",NH4
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",Хлоpиды
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""",Хлоpиды
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",NO3
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",SO4
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""","""Окисл. Бихp."""
"""Р.ТОМЬ - С.КОЗЮЛИНО""","""3А Загрязненная""",Нефтепpод.
"""Р.ТОМЬ, Г.ТОМСК 0,3КМ ВЫШЕ ГОРОДА, ГИДРОПОСТ""","""3Б Очень загрязненная""",Медь
